SKU,name,description,current_price,current_stock
SKU-PRD-0039,Cable HDMI Modelo 39,Cable de alta definición mallado 4K - Lote 39,118.94,162
SKU-PRD-0040,Cable HDMI Modelo 40,Cable de alta definición mallado 4K - Lote 40,98.6,90
SKU-PRD-0041,Teclado Modelo 41,Teclado multimedia con iluminación LED - Lote 41,563.85,87
SKU-PRD-0042,Audífonos Modelo 42,Audífonos estéreo con micrófono y cancelación de ruido - Lote 42,1621.01,19
SKU-PRD-0043,Monitor Modelo 43,Pantalla LED Full HD con puertos HDMI - Lote 43,5154.43,65
SKU-PRD-0044,Bocina Bluetooth Modelo 44,Bocina inalámbrica portátil resistente al agua - Lote 44,667.43,116
SKU-PRD-0045,Smartwatch Modelo 45,Reloj inteligente deportivo con monitor de salud - Lote 45,2025.27,99
SKU-PRD-0046,Impresora Modelo 46,Impresora multifuncional a color con Wi-Fi - Lote 46,2006.34,149
SKU-PRD-0047,Regulador Modelo 47,Protector de voltaje multicontacto para oficina - Lote 47,493.39,83
SKU-PRD-0048,Mouse Modelo 48,Mouse óptico ergonómico con conexión USB - Lote 48,450.28,129
SKU-PRD-0049,Smartwatch Modelo 49,Reloj inteligente deportivo con monitor de salud - Lote 49,1395.11,164
SKU-PRD-0050,Regulador Modelo 50,Protector de voltaje multicontacto para oficina - Lote 50,1089.67,155
SKU-PRD-0051,Teclado Modelo 51,Teclado multimedia con iluminación LED - Lote 51,1055.03,156
SKU-PRD-0052,Smartwatch Modelo 52,Reloj inteligente deportivo con monitor de salud - Lote 52,870.37,50
SKU-PRD-0053,Bocina Bluetooth Modelo 53,Bocina inalámbrica portátil resistente al agua - Lote 53,1220.46,116
SKU-PRD-0054,Impresora Modelo 54,Impresora multifuncional a color con Wi-Fi - Lote 54,3752.07,182
SKU-PRD-0055,Cable HDMI Modelo 55,Cable de alta definición mallado 4K - Lote 55,315.33,21
SKU-PRD-0056,Laptop Modelo 56,Ordenador portátil con procesador de alta velocidad y SSD - Lote 56,17904.71,99
SKU-PRD-0057,Audífonos Modelo 57,Audífonos estéreo con micrófono y cancelación de ruido - Lote 57,1028.19,161
SKU-PRD-0058,Smartphone Modelo 58,Teléfono inteligente con cámara dual y gran batería - Lote 58,5151.56,169
SKU-PRD-0059,Impresora Modelo 59,Impresora multifuncional a color con Wi-Fi - Lote 59,2680.8,193
SKU-PRD-0060,Audífonos Modelo 60,Audífonos estéreo con micrófono y cancelación de ruido - Lote 60,843.19,39
SKU-PRD-0061,Silla Gamer Modelo 61,Silla ergonómica ajustable con soporte lumbar - Lote 61,3703.44,160
SKU-PRD-0062,Bocina Bluetooth Modelo 62,Bocina inalámbrica portátil resistente al agua - Lote 62,1896.84,22
SKU-PRD-0063,Bocina Bluetooth Modelo 63,Bocina inalámbrica portátil resistente al agua - Lote 63,753.3,60
SKU-PRD-0064,Silla Gamer Modelo 64,Silla ergonómica ajustable con soporte lumbar - Lote 64,4362.02,113
SKU-PRD-0065,Smartphone Modelo 65,Teléfono inteligente con cámara dual y gran batería - Lote 65,8195.83,130
SKU-PRD-0066,Bocina Bluetooth Modelo 66,Bocina inalámbrica portátil resistente al agua - Lote 66,1293.27,142
SKU-PRD-0067,Impresora Modelo 67,Impresora multifuncional a color con Wi-Fi - Lote 67,4090.48,66
SKU-PRD-0068,Disco Duro Modelo 68,Unidad de almacenamiento externo de alta velocidad - Lote 68,2681.11,5
SKU-PRD-0069,Cable HDMI Modelo 69,Cable de alta definición mallado 4K - Lote 69,237.95,133
SKU-PRD-0070,Laptop Modelo 70,Ordenador portátil con procesador de alta velocidad y SSD - Lote 70,20757.28,124
SKU-PRD-0071,Tablet Modelo 71,Dispositivo táctil multimedia para estudio y trabajo - Lote 71,2202.76,31
SKU-PRD-0072,Laptop Modelo 72,Ordenador portátil con procesador de alta velocidad y SSD - Lote 72,8514.24,140
SKU-PRD-0073,Cable HDMI Modelo 73,Cable de alta definición mallado 4K - Lote 73,185.36,78
SKU-PRD-0074,Disco Duro Modelo 74,Unidad de almacenamiento externo de alta velocidad - Lote 74,2747.77,123
SKU-PRD-0075,Bocina Bluetooth Modelo 75,Bocina inalámbrica portátil resistente al agua - Lote 75,1682.12,181
SKU-PRD-0076,Bocina Bluetooth Modelo 76,Bocina inalámbrica portátil resistente al agua - Lote 76,1919.12,62
SKU-PRD-0077,Audífonos Modelo 77,Audífonos estéreo con micrófono y cancelación de ruido - Lote 77,1411.79,30
SKU-PRD-0078,Cable HDMI Modelo 78,Cable de alta definición mallado 4K - Lote 78,308.6,65
SKU-PRD-0079,Mouse Modelo 79,Mouse óptico ergonómico con conexión USB - Lote 79,454.95,170
SKU-PRD-0080,Silla Gamer Modelo 80,Silla ergonómica ajustable con soporte lumbar - Lote 80,2782.58,141
SKU-PRD-0081,Teclado Modelo 81,Teclado multimedia con iluminación LED - Lote 81,1252.62,62
SKU-PRD-0082,Mouse Modelo 82,Mouse óptico ergonómico con conexión USB - Lote 82,760.71,11
SKU-PRD-0083,Tablet Modelo 83,Dispositivo táctil multimedia para estudio y trabajo - Lote 83,6389.91,113
SKU-PRD-0084,Tablet Modelo 84,Dispositivo táctil multimedia para estudio y trabajo - Lote 84,7476.02,61
SKU-PRD-0085,Tablet Modelo 85,Dispositivo táctil multimedia para estudio y trabajo - Lote 85,4236.67,128
SKU-PRD-0086,Teclado Modelo 86,Teclado multimedia con iluminación LED - Lote 86,1187.08,148
SKU-PRD-0087,Memoria USB Modelo 87,Unidad flash portátil de transferencia rápida - Lote 87,279.91,93
SKU-PRD-0088,Impresora Modelo 88,Impresora multifuncional a color con Wi-Fi - Lote 88,4355.75,66
SKU-PRD-0089,Cable HDMI Modelo 89,Cable de alta definición mallado 4K - Lote 89,326.11,10
SKU-PRD-0090,Mouse Modelo 90,Mouse óptico ergonómico con conexión USB - Lote 90,410.53,48
SKU-PRD-0091,Bocina Bluetooth Modelo 91,Bocina inalámbrica portátil resistente al agua - Lote 91,967.27,30
SKU-PRD-0092,Bocina Bluetooth Modelo 92,Bocina inalámbrica portátil resistente al agua - Lote 92,1825.33,179
SKU-PRD-0093,Monitor Modelo 93,Pantalla LED Full HD con puertos HDMI - Lote 93,5821.68,106
SKU-PRD-0094,Impresora Modelo 94,Impresora multifuncional a color con Wi-Fi - Lote 94,3766.62,73
SKU-PRD-0095,Disco Duro Modelo 95,Unidad de almacenamiento externo de alta velocidad - Lote 95,1379.59,112
SKU-PRD-0096,Impresora Modelo 96,Impresora multifuncional a color con Wi-Fi - Lote 96,2948.75,45
SKU-PRD-0097,Smartwatch Modelo 97,Reloj inteligente deportivo con monitor de salud - Lote 97,1392.49,49
SKU-PRD-0098,Impresora Modelo 98,Impresora multifuncional a color con Wi-Fi - Lote 98,2659.4,5
SKU-PRD-0099,Laptop Modelo 99,Ordenador portátil con procesador de alta velocidad y SSD - Lote 99,18328.5,103
SKU-PRD-0100,Silla Gamer Modelo 100,Silla ergonómica ajustable con soporte lumbar - Lote 100,3773.97,190
SKU-PRD-0101,Memoria USB Modelo 101,Unidad flash portátil de transferencia rápida - Lote 101,547.86,45
SKU-PRD-0102,Tablet Modelo 102,Dispositivo táctil multimedia para estudio y trabajo - Lote 102,5842.14,127
SKU-PRD-0103,Mouse Modelo 103,Mouse óptico ergonómico con conexión USB - Lote 103,669.96,113
SKU-PRD-0104,Laptop Modelo 104,Ordenador portátil con procesador de alta velocidad y SSD - Lote 104,21555.24,13
SKU-PRD-0105,Audífonos Modelo 105,Audífonos estéreo con micrófono y cancelación de ruido - Lote 105,494.18,125
SKU-PRD-0106,Bocina Bluetooth Modelo 106,Bocina inalámbrica portátil resistente al agua - Lote 106,1473.2,38
SKU-PRD-0107,Cable HDMI Modelo 107,Cable de alta definición mallado 4K - Lote 107,277.59,33
SKU-PRD-0108,Disco Duro Modelo 108,Unidad de almacenamiento externo de alta velocidad - Lote 108,2675.69,85
SKU-PRD-0109,Tablet Modelo 109,Dispositivo táctil multimedia para estudio y trabajo - Lote 109,3022.74,41
SKU-PRD-0110,Bocina Bluetooth Modelo 110,Bocina inalámbrica portátil resistente al agua - Lote 110,1010.54,190
SKU-PRD-0111,Mouse Modelo 111,Mouse óptico ergonómico con conexión USB - Lote 111,406.37,162
SKU-PRD-0112,Teclado Modelo 112,Teclado multimedia con iluminación LED - Lote 112,1423.21,121
SKU-PRD-0113,Smartphone Modelo 113,Teléfono inteligente con cámara dual y gran batería - Lote 113,4319.47,101
SKU-PRD-0114,Regulador Modelo 114,Protector de voltaje multicontacto para oficina - Lote 114,1084.23,191
SKU-PRD-0115,Mouse Modelo 115,Mouse óptico ergonómico con conexión USB - Lote 115,635.2,134
SKU-PRD-0116,Mouse Modelo 116,Mouse óptico ergonómico con conexión USB - Lote 116,830.63,173
SKU-PRD-0117,Memoria USB Modelo 117,Unidad flash portátil de transferencia rápida - Lote 117,471.7,165
SKU-PRD-0118,Memoria USB Modelo 118,Unidad flash portátil de transferencia rápida - Lote 118,542.81,121
SKU-PRD-0119,Smartphone Modelo 119,Teléfono inteligente con cámara dual y gran batería - Lote 119,11744.54,173
SKU-PRD-0120,Silla Gamer Modelo 120,Silla ergonómica ajustable con soporte lumbar - Lote 120,5139.24,167
SKU-PRD-0121,Cable HDMI Modelo 121,Cable de alta definición mallado 4K - Lote 121,199.34,121
SKU-PRD-0122,Laptop Modelo 122,Ordenador portátil con procesador de alta velocidad y SSD - Lote 122,15238.0,156
SKU-PRD-0123,Teclado Modelo 123,Teclado multimedia con iluminación LED - Lote 123,742.82,111
SKU-PRD-0124,Audífonos Modelo 124,Audífonos estéreo con micrófono y cancelación de ruido - Lote 124,1452.23,46
SKU-PRD-0125,Impresora Modelo 125,Impresora multifuncional a color con Wi-Fi - Lote 125,3754.89,77
SKU-PRD-0126,Impresora Modelo 126,Impresora multifuncional a color con Wi-Fi - Lote 126,2208.75,171
SKU-PRD-0127,Smartwatch Modelo 127,Reloj inteligente deportivo con monitor de salud - Lote 127,569.55,105
SKU-PRD-0128,Bocina Bluetooth Modelo 128,Bocina inalámbrica portátil resistente al agua - Lote 128,794.78,39
SKU-PRD-0129,Laptop Modelo 129,Ordenador portátil con procesador de alta velocidad y SSD - Lote 129,23595.51,188
SKU-PRD-0130,Mouse Modelo 130,Mouse óptico ergonómico con conexión USB - Lote 130,564.3,77
SKU-PRD-0131,Smartwatch Modelo 131,Reloj inteligente deportivo con monitor de salud - Lote 131,1852.07,185
SKU-PRD-0132,Silla Gamer Modelo 132,Silla ergonómica ajustable con soporte lumbar - Lote 132,2577.11,64
SKU-PRD-0133,Monitor Modelo 133,Pantalla LED Full HD con puertos HDMI - Lote 133,2012.74,22
SKU-PRD-0134,Bocina Bluetooth Modelo 134,Bocina inalámbrica portátil resistente al agua - Lote 134,653.07,181
SKU-PRD-0135,Laptop Modelo 135,Ordenador portátil con procesador de alta velocidad y SSD - Lote 135,11134.07,183
SKU-PRD-0136,Audífonos Modelo 136,Audífonos estéreo con micrófono y cancelación de ruido - Lote 136,1385.69,137
SKU-PRD-0137,Laptop Modelo 137,Ordenador portátil con procesador de alta velocidad y SSD - Lote 137,15478.68,10
SKU-PRD-0138,Teclado Modelo 138,Teclado multimedia con iluminación LED - Lote 138,259.42,80
SKU-PRD-0139,Cable HDMI Modelo 139,Cable de alta definición mallado 4K - Lote 139,242.15,29
SKU-PRD-0140,Teclado Modelo 140,Teclado multimedia con iluminación LED - Lote 140,1177.76,113
SKU-PRD-0141,Audífonos Modelo 141,Audífonos estéreo con micrófono y cancelación de ruido - Lote 141,464.76,32
SKU-PRD-0142,Mouse Modelo 142,Mouse óptico ergonómico con conexión USB - Lote 142,687.68,117
SKU-PRD-0143,Mouse Modelo 143,Mouse óptico ergonómico con conexión USB - Lote 143,273.33,147
SKU-PRD-0144,Bocina Bluetooth Modelo 144,Bocina inalámbrica portátil resistente al agua - Lote 144,1364.5,130
SKU-PRD-0145,Silla Gamer Modelo 145,Silla ergonómica ajustable con soporte lumbar - Lote 145,2824.36,6
SKU-PRD-0146,Monitor Modelo 146,Pantalla LED Full HD con puertos HDMI - Lote 146,3154.84,78
SKU-PRD-0147,Laptop Modelo 147,Ordenador portátil con procesador de alta velocidad y SSD - Lote 147,24346.52,10
SKU-PRD-0148,Regulador Modelo 148,Protector de voltaje multicontacto para oficina - Lote 148,722.3,56
SKU-PRD-0149,Audífonos Modelo 149,Audífonos estéreo con micrófono y cancelación de ruido - Lote 149,1630.65,175
SKU-PRD-0150,Impresora Modelo 150,Impresora multifuncional a color con Wi-Fi - Lote 150,3947.31,148
SKU-PRD-0151,Teclado Modelo 151,Teclado multimedia con iluminación LED - Lote 151,776.69,31
SKU-PRD-0152,Audífonos Modelo 152,Audífonos estéreo con micrófono y cancelación de ruido - Lote 152,788.25,14
SKU-PRD-0153,Silla Gamer Modelo 153,Silla ergonómica ajustable con soporte lumbar - Lote 153,3060.26,74
SKU-PRD-0154,Bocina Bluetooth Modelo 154,Bocina inalámbrica portátil resistente al agua - Lote 154,1902.39,63
SKU-PRD-0155,Bocina Bluetooth Modelo 155,Bocina inalámbrica portátil resistente al agua - Lote 155,435.26,171
SKU-PRD-0156,Bocina Bluetooth Modelo 156,Bocina inalámbrica portátil resistente al agua - Lote 156,1438.14,15
SKU-PRD-0157,Smartphone Modelo 157,Teléfono inteligente con cámara dual y gran batería - Lote 157,10312.0,53
SKU-PRD-0158,Tablet Modelo 158,Dispositivo táctil multimedia para estudio y trabajo - Lote 158,4948.68,154
SKU-PRD-0159,Cable HDMI Modelo 159,Cable de alta definición mallado 4K - Lote 159,321.75,8
SKU-PRD-0160,Silla Gamer Modelo 160,Silla ergonómica ajustable con soporte lumbar - Lote 160,3877.27,85
SKU-PRD-0161,Monitor Modelo 161,Pantalla LED Full HD con puertos HDMI - Lote 161,6422.42,104
SKU-PRD-0162,Impresora Modelo 162,Impresora multifuncional a color con Wi-Fi - Lote 162,3435.62,108
SKU-PRD-0163,Memoria USB Modelo 163,Unidad flash portátil de transferencia rápida - Lote 163,437.29,187
SKU-PRD-0164,Memoria USB Modelo 164,Unidad flash portátil de transferencia rápida - Lote 164,314.17,68
SKU-PRD-0165,Laptop Modelo 165,Ordenador portátil con procesador de alta velocidad y SSD - Lote 165,22957.37,42
SKU-PRD-0166,Monitor Modelo 166,Pantalla LED Full HD con puertos HDMI - Lote 166,3818.96,178
SKU-PRD-0167,Cable HDMI Modelo 167,Cable de alta definición mallado 4K - Lote 167,196.2,65
SKU-PRD-0168,Silla Gamer Modelo 168,Silla ergonómica ajustable con soporte lumbar - Lote 168,4588.84,56
SKU-PRD-0169,Smartwatch Modelo 169,Reloj inteligente deportivo con monitor de salud - Lote 169,2463.18,193
SKU-PRD-0170,Monitor Modelo 170,Pantalla LED Full HD con puertos HDMI - Lote 170,2042.11,168
SKU-PRD-0171,Teclado Modelo 171,Teclado multimedia con iluminación LED - Lote 171,1107.41,174
SKU-PRD-0172,Memoria USB Modelo 172,Unidad flash portátil de transferencia rápida - Lote 172,486.8,132
SKU-PRD-0173,Tablet Modelo 173,Dispositivo táctil multimedia para estudio y trabajo - Lote 173,6963.37,26
SKU-PRD-0174,Laptop Modelo 174,Ordenador portátil con procesador de alta velocidad y SSD - Lote 174,16694.18,23
SKU-PRD-0175,Impresora Modelo 175,Impresora multifuncional a color con Wi-Fi - Lote 175,3653.33,66
SKU-PRD-0176,Smartphone Modelo 176,Teléfono inteligente con cámara dual y gran batería - Lote 176,6376.88,35
SKU-PRD-0177,Mouse Modelo 177,Mouse óptico ergonómico con conexión USB - Lote 177,778.26,115
SKU-PRD-0178,Tablet Modelo 178,Dispositivo táctil multimedia para estudio y trabajo - Lote 178,4535.33,115
SKU-PRD-0179,Silla Gamer Modelo 179,Silla ergonómica ajustable con soporte lumbar - Lote 179,4315.57,37
SKU-PRD-0180,Regulador Modelo 180,Protector de voltaje multicontacto para oficina - Lote 180,784.7,192
SKU-PRD-0181,Smartwatch Modelo 181,Reloj inteligente deportivo con monitor de salud - Lote 181,1012.16,60
SKU-PRD-0182,Smartphone Modelo 182,Teléfono inteligente con cámara dual y gran batería - Lote 182,6544.23,22
SKU-PRD-0183,Laptop Modelo 183,Ordenador portátil con procesador de alta velocidad y SSD - Lote 183,18302.47,140
SKU-PRD-0184,Memoria USB Modelo 184,Unidad flash portátil de transferencia rápida - Lote 184,357.27,105
SKU-PRD-0185,Laptop Modelo 185,Ordenador portátil con procesador de alta velocidad y SSD - Lote 185,18611.55,189
SKU-PRD-0186,Cable HDMI Modelo 186,Cable de alta definición mallado 4K - Lote 186,324.46,135
SKU-PRD-0187,Impresora Modelo 187,Impresora multifuncional a color con Wi-Fi - Lote 187,3063.7,122
SKU-PRD-0188,Silla Gamer Modelo 188,Silla ergonómica ajustable con soporte lumbar - Lote 188,3584.05,11
SKU-PRD-0189,Tablet Modelo 189,Dispositivo táctil multimedia para estudio y trabajo - Lote 189,2211.36,139
SKU-PRD-0190,Tablet Modelo 190,Dispositivo táctil multimedia para estudio y trabajo - Lote 190,3373.17,198
SKU-PRD-0191,Laptop Modelo 191,Ordenador portátil con procesador de alta velocidad y SSD - Lote 191,13894.75,125
SKU-PRD-0192,Bocina Bluetooth Modelo 192,Bocina inalámbrica portátil resistente al agua - Lote 192,1718.51,19
SKU-PRD-0193,Teclado Modelo 193,Teclado multimedia con iluminación LED - Lote 193,906.49,87
SKU-PRD-0194,Laptop Modelo 194,Ordenador portátil con procesador de alta velocidad y SSD - Lote 194,15977.26,146
SKU-PRD-0195,Tablet Modelo 195,Dispositivo táctil multimedia para estudio y trabajo - Lote 195,5214.01,134
SKU-PRD-0196,Silla Gamer Modelo 196,Silla ergonómica ajustable con soporte lumbar - Lote 196,4120.31,141
SKU-PRD-0197,Silla Gamer Modelo 197,Silla ergonómica ajustable con soporte lumbar - Lote 197,5105.12,92
SKU-PRD-0198,Memoria USB Modelo 198,Unidad flash portátil de transferencia rápida - Lote 198,414.67,10
SKU-PRD-0199,Smartwatch Modelo 199,Reloj inteligente deportivo con monitor de salud - Lote 199,2231.08,47
SKU-PRD-0200,Teclado Modelo 200,Teclado multimedia con iluminación LED - Lote 200,1143.36,101
SKU-PRD-0201,Audífonos Modelo 201,Audífonos estéreo con micrófono y cancelación de ruido - Lote 201,1070.91,31
SKU-PRD-0202,Bocina Bluetooth Modelo 202,Bocina inalámbrica portátil resistente al agua - Lote 202,1261.43,74
SKU-PRD-0203,Regulador Modelo 203,Protector de voltaje multicontacto para oficina - Lote 203,530.15,48
SKU-PRD-0204,Smartwatch Modelo 204,Reloj inteligente deportivo con monitor de salud - Lote 204,1486.25,183
SKU-PRD-0205,Memoria USB Modelo 205,Unidad flash portátil de transferencia rápida - Lote 205,325.85,136
SKU-PRD-0206,Disco Duro Modelo 206,Unidad de almacenamiento externo de alta velocidad - Lote 206,1404.69,103
SKU-PRD-0207,Monitor Modelo 207,Pantalla LED Full HD con puertos HDMI - Lote 207,2594.89,113
SKU-PRD-0208,Memoria USB Modelo 208,Unidad flash portátil de transferencia rápida - Lote 208,339.12,166
SKU-PRD-0209,Cable HDMI Modelo 209,Cable de alta definición mallado 4K - Lote 209,155.2,26
SKU-PRD-0210,Impresora Modelo 210,Impresora multifuncional a color con Wi-Fi - Lote 210,4050.92,12
SKU-PRD-0211,Teclado Modelo 211,Teclado multimedia con iluminación LED - Lote 211,1461.12,157
SKU-PRD-0212,Laptop Modelo 212,Ordenador portátil con procesador de alta velocidad y SSD - Lote 212,23559.18,174
SKU-PRD-0213,Monitor Modelo 213,Pantalla LED Full HD con puertos HDMI - Lote 213,5495.51,136
SKU-PRD-0214,Memoria USB Modelo 214,Unidad flash portátil de transferencia rápida - Lote 214,163.36,173
SKU-PRD-0215,Laptop Modelo 215,Ordenador portátil con procesador de alta velocidad y SSD - Lote 215,12258.73,188
SKU-PRD-0216,Audífonos Modelo 216,Audífonos estéreo con micrófono y cancelación de ruido - Lote 216,918.17,61
SKU-PRD-0217,Mouse Modelo 217,Mouse óptico ergonómico con conexión USB - Lote 217,513.48,200
SKU-PRD-0218,Disco Duro Modelo 218,Unidad de almacenamiento externo de alta velocidad - Lote 218,3432.25,155
SKU-PRD-0219,Smartphone Modelo 219,Teléfono inteligente con cámara dual y gran batería - Lote 219,9080.55,84
SKU-PRD-0220,Disco Duro Modelo 220,Unidad de almacenamiento externo de alta velocidad - Lote 220,1161.84,183
SKU-PRD-0221,Silla Gamer Modelo 221,Silla ergonómica ajustable con soporte lumbar - Lote 221,3990.46,144
SKU-PRD-0222,Impresora Modelo 222,Impresora multifuncional a color con Wi-Fi - Lote 222,2649.97,50
SKU-PRD-0223,Monitor Modelo 223,Pantalla LED Full HD con puertos HDMI - Lote 223,4110.99,165
SKU-PRD-0224,Monitor Modelo 224,Pantalla LED Full HD con puertos HDMI - Lote 224,4197.4,89
SKU-PRD-0225,Tablet Modelo 225,Dispositivo táctil multimedia para estudio y trabajo - Lote 225,4913.6,158
SKU-PRD-0226,Tablet Modelo 226,Dispositivo táctil multimedia para estudio y trabajo - Lote 226,4803.61,188
SKU-PRD-0227,Cable HDMI Modelo 227,Cable de alta definición mallado 4K - Lote 227,270.03,181
SKU-PRD-0228,Laptop Modelo 228,Ordenador portátil con procesador de alta velocidad y SSD - Lote 228,9733.86,28
SKU-PRD-0229,Monitor Modelo 229,Pantalla LED Full HD con puertos HDMI - Lote 229,5367.41,160
SKU-PRD-0230,Bocina Bluetooth Modelo 230,Bocina inalámbrica portátil resistente al agua - Lote 230,1845.46,109
SKU-PRD-0231,Smartwatch Modelo 231,Reloj inteligente deportivo con monitor de salud - Lote 231,970.87,8
SKU-PRD-0232,Teclado Modelo 232,Teclado multimedia con iluminación LED - Lote 232,1058.54,154
SKU-PRD-0233,Impresora Modelo 233,Impresora multifuncional a color con Wi-Fi - Lote 233,1979.79,36
SKU-PRD-0234,Audífonos Modelo 234,Audífonos estéreo con micrófono y cancelación de ruido - Lote 234,1529.07,103
SKU-PRD-0235,Cable HDMI Modelo 235,Cable de alta definición mallado 4K - Lote 235,162.72,130
SKU-PRD-0236,Monitor Modelo 236,Pantalla LED Full HD con puertos HDMI - Lote 236,2349.97,42
SKU-PRD-0237,Disco Duro Modelo 237,Unidad de almacenamiento externo de alta velocidad - Lote 237,2786.42,78
SKU-PRD-0238,Laptop Modelo 238,Ordenador portátil con procesador de alta velocidad y SSD - Lote 238,9703.57,136
SKU-PRD-0239,Regulador Modelo 239,Protector de voltaje multicontacto para oficina - Lote 239,919.7,97
SKU-PRD-0240,Silla Gamer Modelo 240,Silla ergonómica ajustable con soporte lumbar - Lote 240,5504.8,177
SKU-PRD-0241,Smartphone Modelo 241,Teléfono inteligente con cámara dual y gran batería - Lote 241,10654.49,154
SKU-PRD-0242,Laptop Modelo 242,Ordenador portátil con procesador de alta velocidad y SSD - Lote 242,24574.51,121
SKU-PRD-0243,Mouse Modelo 243,Mouse óptico ergonómico con conexión USB - Lote 243,728.87,180
SKU-PRD-0244,Regulador Modelo 244,Protector de voltaje multicontacto para oficina - Lote 244,593.18,92
SKU-PRD-0245,Laptop Modelo 245,Ordenador portátil con procesador de alta velocidad y SSD - Lote 245,9279.98,109
SKU-PRD-0246,Smartphone Modelo 246,Teléfono inteligente con cámara dual y gran batería - Lote 246,11049.28,66
SKU-PRD-0247,Memoria USB Modelo 247,Unidad flash portátil de transferencia rápida - Lote 247,541.34,177
SKU-PRD-0248,Bocina Bluetooth Modelo 248,Bocina inalámbrica portátil resistente al agua - Lote 248,1739.28,73
